37468 train / 4668 val frames, 17.8% folded
C:\Users\ethan\Documents\Projects\watai\WorldFold\imitation\vision\success.py:117: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:823.)
  log(f"  step {step:5d}  loss {float(loss):.4f}  val frame acc {acc:.3f}  fold-score MAE {mae:.3f}")
  step  1000  loss 0.0694  val frame acc 0.932  fold-score MAE 0.027
  step  2000  loss 0.0628  val frame acc 0.927  fold-score MAE 0.026
  step  3000  loss 0.0717  val frame acc 0.937  fold-score MAE 0.026
  step  4000  loss 0.0470  val frame acc 0.944  fold-score MAE 0.027
  step  5000  loss 0.0155  val frame acc 0.949  fold-score MAE 0.023
  step  6000  loss 0.0217  val frame acc 0.948  fold-score MAE 0.022
  step  7000  loss 0.0202  val frame acc 0.950  fold-score MAE 0.022
  step  8000  loss 0.0039  val frame acc 0.949  fold-score MAE 0.022
{"val_frame_acc": 0.9490145672664952, "val_fold_mae": 0.02162470668554306, "n_val_frames": 4668}
