epoch,util_pct,mem_mib
1790361160,40,7952
1790361165,58,7952
1790361170,62,7952
1790361176,64,7952
1790361181,68,7952
1790361186,77,7952
1790361191,75,7952
1790361197,60,7952
1790361202,57,7952
1790361207,57,7952
1790361213,57,7952
1790361218,54,7952
1790361223,71,7952
1790361229,52,7952
1790361234,68,7952
1790361239,66,7952
1790361245,79,7952
1790361250,57,7952
1790361255,63,7952
1790361260,55,7952
1790361266,71,7952
1790361271,64,7952
1790361276,78,7952
1790361281,70,7952
1790361287,73,7952
1790361292,61,7952
1790361297,63,7952
1790361303,79,7952
1790361308,54,7952
1790361313,49,7954
1790361318,46,7952
1790361324,71,7952
1790361329,86,7952
1790361334,53,7952
1790361340,46,7952
1790361345,80,7952
1790361350,65,7952
1790361355,59,7952
1790361361,71,7952
1790361366,64,7952
1790361371,46,7952
1790361377,46,7952
1790361382,66,7952
1790361387,70,7952
1790361393,79,7952
1790361398,56,7952
1790361403,77,7952
1790361408,67,7952
1790361414,72,7952
1790361419,51,7952
1790361424,61,7952
1790361430,62,7952
1790361435,52,7952
1790361440,88,7952
1790361445,66,7952
1790361451,60,7952
1790361456,47,7952
1790361461,67,7952
1790361467,59,7952
1790361472,69,7952
1790361477,65,7952
1790361482,74,7952
1790361488,72,7952
1790361493,46,7952
1790361498,48,7952
1790361504,58,7952
1790361509,42,7952
1790361514,63,7952
1790361519,73,7952
1790361525,56,7952
1790361530,76,7952
1790361535,63,7952
1790361540,53,7952
1790361546,65,7952
1790361551,61,7952
1790361556,48,7952
1790361562,78,7952
1790361567,55,7952
1790361572,75,7952
1790361577,74,7952
1790361583,47,7952
1790361588,50,7952
1790361593,62,7952
1790361598,68,7952
1790361604,57,7952
1790361609,47,7952
1790361614,46,7952
1790361620,63,7952
1790361625,55,7952
1790361630,75,7952
1790361636,48,7952
1790361641,44,7952
1790361646,46,7952
1790361651,83,7952
1790361657,38,7952
1790361662,72,7952
1790361667,62,7952
1790361673,53,7952
1790361678,58,7952
1790361683,38,7952
1790361688,45,7952
1790361694,37,7952
1790361699,77,7952
1790361704,55,7952
1790361710,50,7952
1790361715,37,7952
1790361720,80,7952
1790361726,13,7952
1790361731,9,2380
1790361736,6,4172
